ID,DESCRIPTION,IMAGE,NAME,SLUG,SPECIFICATIONS
1,Điện thoại di động,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fphone.png?alt=media&token=9ff74c7f-f79f-45db-8207-ecfdf361f1da,Điện thoại,dien-thoai,"[""Ram"",""CPU"",""Bộ nhớ trong"",""Màn hình"",""Tần số quét"",""Camera"",""Trọng lượng"",""Chất liệu""]"
2,"Laptop, gaming",https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Flaptop.png?alt=media&token=c6b0654f-eb64-4d11-a2f3-b7582d1f6292,Laptop,laptop,"[""Ram"",""CPU"",""Card đồ hoạ"",""Bộ nhớ trong"",""Màn hình"",""Hệ điều hành"",""Kích thước"", ""Trọng lượng"",""Chất liệu""]"
3,Phụ kiện,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Faccessories.png?alt=media&token=ebbb805f-99df-43ab-8b63-8a34edd0b0b33,Phụ kiện,phu-kien,"[""Cổng giao tiếp"",""Độ phân giải"",""Góc quay"",""Kích thước"",""Trọng lượng""]"
4,Đồng hồ,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fwatch.png?alt=media&token=802bc2be-c6a2-4f0a-bdf6-e2eafab612ae,Tivi,ti-vi,"[""Kích thước"",""Loại kết nối"",""Trọng lượng"",""Cổng""]"
5,"Tai nghe, loa",https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fheadphone.png?alt=media&token=31d2bcae-410d-425e-8593-4dac192c2dd1,Thiết bị âm thanh,thiet-bi-am-thanh,"[""Thiết kế"",""Kết nối"",""Chức năng"",""Microphone"",""Tần số phản hồi"",""Khối lượng""]"
6,"Máy in, scan, thiết bị trình chiếu",https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Frouter.png?alt=media&token=4bca507e-2288-4958-87f5-96e61ead6e37,Thiết bị văn phòng,thiet-bi-van-phong,"[""Băng tầng hỗ trợ"",""Chuẩn kết nối"",""Tốc độ"",""Ăng ten"",""Khổ giấy in"",""Tốc độ in""]"
7,"CPU, RAM, Ổ cứng, tản nhiệt",https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fequipment.png?alt=media&token=1153460b-8175-4f9f-898f-9da85a3df0bb,Linh kiện máy tính,linh-kien-may-tinh,"[""Socket"",""Tốc độ"",""Bộ nhớ đệm"",""Số nhân xử lý"",""Số luồng xử lý"",""Tốc độ xử lý"",""Kiến trúc""]"
8,"Màn hình Asus, LG",https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fmonitor.png?alt=media&token=5f0693fa-6460-4e5a-a232-6d9b956e4060,Màn hình máy tính,man-hinh-may-tinh,"[""Kích thước"",""Tần số quét"",""Hiển thị màu sắc"",""Cổng hình ảnh""]"
9,Thu cũ đổi mới,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fused.png?alt=media&token=6ac659f2-1586-402b-8980-49690aca856c,Hàng cũ,hang-cu,"[""Ram"",""Bộ nhớ trong"",""Màn hình""]"
10,Khuyến mãi,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fsale.png?alt=media&token=3a26149b-fc63-425c-a267-5a1c83ae1606,Khuyến mãi,khuyen-mai,"[""Giảm giá"",""Giảm giá 2"",""giảm giá 1""]"
11,Tin công nghệ,https://firebasestorage.googleapis.com/v0/b/fusiontech-vnco4.appspot.com/o/images%2Fcategories%2Fnews.jpg?alt=media&token=3a7141c1-ddb0-4a91-88e5-e127b6552ebf,Tin công nghệ,tin-cong-nghe,"[""Tiêu đề chính"",""Tiêu đề 1"",""Tin chính""]"
